Label,Mean,StdDev,Max,Median,Mode,NumberOfVoxels,Volume
7,858.180,423.127,3884,790,791,6269,259.487
11,1786.365,608.470,3939,1672,1196,455,18.833
13,1036.784,519.434,2408,917,697,116,4.801
14,833.819,463.443,3273,772,0,1156,47.849
17,359.000,255.179,1445,303,0,223,9.230
18,626.730,296.684,2163,568,382,1245,51.533
19,577.523,350.242,3481,497,421,6033,249.719
20,309.414,210.780,1648,264,263,1854,76.741
21,528.261,246.229,1814,479,283,268,11.093
22,613.187,221.018,1752,575,431,764,31.624
23,721.554,356.727,2701,651,466,1000,41.392
24,258.917,170.930,1568,222,211,8412,348.190
25,523.651,204.885,1141,486,524,86,3.560
26,610.143,269.415,1924,545,463,1095,45.324
27,378.925,253.877,2291,336,0,1834,75.913
28,249.826,172.717,1184,223,0,3470,143.631
29,507.420,308.843,1793,438,231,942,38.991
30,243.885,154.937,1172,210,152,1483,61.385
31,206.808,179.928,1167,168,0,1066,44.124
32,352.331,219.587,1618,302,256,2246,92.967
33,188.801,100.836,865,176,0,6143,254.272
34,161.871,108.800,783,150,0,1499,62.047
35,113.516,87.620,696,97,0,3628,150.171
36,253.235,147.197,1066,222,147,1464,60.598
37,177.692,93.167,531,162,118,377,15.605
38,147.746,84.906,607,135,0,1737,71.898
39,58.309,79.944,548,33,0,3727,154.268
40,139.892,116.414,832,124,0,10390,430.064
41,104.058,96.480,882,85,0,8171,338.215
42,693.761,220.653,1641,686,541,1592,65.896
43,93.788,74.061,495,83,0,7390,305.888
44,246.698,85.179,593,234,229,1863,77.114
45,204.903,117.850,1001,193,0,3993,165.279
46,77.109,73.082,583,63,0,6636,274.678
47,69.550,77.513,552,50,0,3721,154.020
48,63.797,64.777,436,49,0,3106,128.564
49,63.153,64.523,339,48,0,3796,157.124
50,57.020,64.367,351,36,0,1816,75.168
51,165.344,132.943,725,161,0,1437,59.480
52,258.493,144.477,895,259,0,4024,166.562
53,80.315,75.327,482,68,0,4977,206.009
54,50.713,53.903,308,36,0,4425,183.160
55,84.936,58.184,320,83,0,2550,105.550
56,84.275,61.359,384,75,0,1350,55.879
57,102.179,79.994,502,93,0,4658,192.804
58,103.960,90.639,580,91,0,4452,184.278
59,13.242,29.295,245,0,0,5747,237.880
60,68.976,72.600,362,51,0,1655,68.504
61,28.633,38.308,213,10,0,1242,51.409
62,25.094,37.358,287,0,0,4317,178.690
63,24.500,37.303,218,0,0,1974,81.708
64,22.768,37.513,311,0,0,4426,183.201
65,25.515,37.119,228,7,0,1566,64.820
66,20.252,33.242,236,0,0,2243,92.843
67,9.573,24.591,314,0,0,5513,228.195
68,10.929,23.900,259,0,0,2323,96.154
69,5.490,15.973,167,0,0,2446,101.245
70,90.888,67.659,574,80,0,4820,199.510
71,10.063,22.751,168,0,0,4848,200.669
72,5.101,13.718,118,0,0,1834,75.913
73,387.371,180.355,1427,361,249,889,36.798
74,402.540,194.463,1227,380,0,2509,103.853
77,491.326,337.321,1996,506,0,1576,65.234
78,304.586,213.653,1162,314,0,3868,160.105
79,227.908,210.175,813,163,0,184,7.616
80,122.105,82.191,559,113,0,5327,220.496
81,58.084,65.390,372,38,0,2161,89.448
82,36.191,47.154,251,14,0,3487,144.334
83,49.528,57.658,345,30,0,2850,117.968
84,46.438,63.480,528,20,0,6981,288.958
86,37.383,33.525,201,29,0,1369,56.666
87,43.866,47.738,269,29,0,2344,97.023
88,13.791,25.526,165,0,0,1528,63.247
89,14.701,28.319,202,0,0,3035,125.625
90,12.629,25.849,167,0,0,2278,94.291
92,20.174,33.904,305,0,0,8572,354.813
93,42.903,52.777,398,23,0,13012,538.594
94,9.382,20.682,156,0,0,1241,51.368
95,21.097,30.844,224,5,0,3094,128.067
96,5.804,16.062,148,0,0,3916,162.092
97,13.166,25.504,178,0,0,3728,154.310
100,6.050,16.564,126,0,0,840,34.769
101,10.967,22.699,191,0,0,7285,301.542
102,36.190,44.637,305,19,0,12867,532.592
104,30.222,37.085,110,6,0,9,0.373
105,41.915,47.765,328,27,0,10418,431.223
107,87.732,74.494,381,76,0,422,17.467
