Label,Mean,StdDev,Max,Median,Mode,NumberOfVoxels,Volume
4,3024.498,778.500,4095,3002,4095,1965,81.336
7,753.447,449.397,3884,714,0,9993,413.631
9,2493.943,802.602,4095,2418,4095,2125,87.958
11,1365.005,729.518,4095,1270,0,4365,180.677
12,1799.441,939.465,4095,1525,4095,780,32.286
13,889.273,400.659,2663,797,603,866,35.846
14,695.389,486.318,3273,635,0,2025,83.819
15,729.213,364.323,2800,664,605,1736,71.857
16,879.451,511.551,3953,772,922,1706,70.615
17,340.984,223.950,1528,296,0,1422,58.860
18,596.488,329.459,2353,541,0,3792,156.959
19,526.212,336.242,3481,457,0,9015,373.150
20,266.271,209.015,1648,232,0,2572,106.461
21,467.073,254.664,1814,403,283,1246,51.575
22,591.903,215.989,1752,561,455,1686,69.787
23,654.108,387.473,2701,598,0,1526,63.164
24,249.685,165.203,1568,214,0,10539,436.231
25,412.554,203.668,1764,378,368,2594,107.371
26,506.174,291.611,1924,486,0,2510,103.894
27,306.930,259.610,2416,275,0,3852,159.442
28,245.057,169.790,1184,219,0,3737,154.682
29,456.964,218.387,1793,418,339,3337,138.125
30,221.576,141.437,1172,193,152,2144,88.745
31,178.320,146.585,1179,153,0,4034,166.976
32,292.306,209.161,1702,254,0,6839,283.081
33,189.817,102.141,865,177,0,6333,262.136
34,155.458,106.809,783,143,0,1693,70.077
35,112.657,87.288,696,96,0,3724,154.144
36,250.138,147.920,1066,220,142,1544,63.909
37,192.313,141.304,1135,174,0,4667,193.177
38,147.285,84.998,607,135,0,1826,75.582
39,55.072,77.501,711,30,0,5437,225.049
40,126.667,115.795,832,108,0,12265,507.674
41,91.815,95.123,882,72,0,9574,396.288
42,582.804,289.230,1641,607,0,2411,99.796
43,92.952,73.527,495,82,0,7598,314.497
44,246.698,85.179,593,234,229,1863,77.114
45,197.583,115.483,1001,188,0,5078,210.189
46,73.856,71.848,583,59,0,7389,305.846
47,64.589,74.634,552,45,0,4728,195.702
48,57.932,63.449,436,42,0,3683,152.447
49,60.538,64.136,339,44,0,4006,165.817
50,58.501,64.121,351,40,0,1791,74.133
51,157.236,129.405,725,151,0,1768,73.181
52,248.819,147.016,895,250,0,4292,177.655
53,80.741,74.539,482,68,0,5048,208.947
54,50.721,53.815,308,37,0,4439,183.740
55,84.936,58.184,320,83,0,2550,105.550
56,84.275,61.359,384,75,0,1350,55.879
57,103.414,79.229,502,94,0,4702,194.626
58,92.125,89.574,580,76,0,5283,218.675
59,13.242,29.295,245,0,0,5747,237.880
60,71.727,72.057,362,55,0,1644,68.049
61,34.674,40.390,213,22,0,922,38.164
62,26.441,37.845,287,4,0,4111,170.163
63,25.650,37.854,218,2,0,1787,73.968
64,22.768,37.513,311,0,0,4426,183.201
65,25.517,37.163,228,7,0,1558,64.489
66,21.470,33.795,236,0,0,2145,88.786
67,9.578,24.597,314,0,0,5510,228.071
68,13.321,25.663,259,0,0,1946,80.549
69,7.439,18.758,167,0,0,1468,60.764
70,97.426,66.450,574,87,0,4370,180.884
71,10.977,23.824,168,0,0,4508,186.596
72,8.068,16.720,92,0,0,424,17.550
73,380.235,183.362,1427,353,399,1237,51.202
74,367.980,191.587,1227,338,0,3346,138.498
77,467.782,320.820,1996,465,0,1882,77.900
78,283.327,216.576,1162,293,0,4350,180.056
79,325.222,206.307,813,302,54,144,5.960
80,128.346,79.783,559,118,0,5084,210.438
81,69.361,67.051,372,57,0,1683,69.663
82,41.626,48.298,251,25,0,3031,125.459
83,57.129,58.888,345,44,0,2432,100.666
84,49.365,63.975,528,26,0,6688,276.830
87,58.557,48.402,269,51,0,1574,65.151
88,21.978,30.646,152,6,0,455,18.833
89,23.655,33.966,202,6,0,1500,62.088
90,18.539,29.746,167,0,0,1465,60.639
92,22.856,35.221,305,1,0,7579,313.711
93,44.623,53.181,398,26,0,12492,517.070
95,30.851,35.530,224,17,0,1638,67.800
96,14.109,23.598,98,0,0,285,11.797
97,20.129,29.641,178,1,0,2172,89.904
101,14.987,26.422,191,0,0,4123,170.660
102,41.088,45.806,305,27,0,11049,457.341
105,50.617,49.671,328,40,0,7602,314.663
