Label,Mean,StdDev,Max,Median,Mode,NumberOfVoxels,Volume
1,870.318,387.671,3170,769,637,2855,118.174
2,872.470,550.147,3646,726,478,984,40.730
3,1460.112,680.118,4095,1299,4095,1737,71.898
4,2211.826,1318.363,4095,2383,0,7362,304.729
5,1918.547,974.304,4095,1921,0,4216,174.509
6,1525.249,771.623,4095,1323,4095,2578,106.709
7,935.184,416.573,3884,859,749,5201,215.280
8,1785.707,1490.179,4095,1822,0,2406,99.589
9,2011.062,1104.756,4095,2071,0,4136,171.198
10,1921.532,1021.876,4095,1905,0,4997,206.836
11,1437.332,672.535,4095,1300,4095,5060,209.444
12,1616.858,799.470,4095,1420,4095,1404,58.115
13,946.908,441.015,2522,827,494,478,19.785
14,1063.940,558.354,3273,940,685,447,18.502
15,846.612,470.660,2848,702,580,397,16.433
16,922.300,484.852,3953,816,815,1924,79.638
17,366.943,226.568,1528,317,356,1213,50.209
18,558.318,345.570,2353,511,0,5248,217.226
19,501.769,340.431,3481,440,0,9692,401.172
20,311.487,211.854,1648,266,263,1642,67.966
21,488.426,259.284,1814,425,283,768,31.789
22,599.474,213.555,1752,566,455,1501,62.130
23,749.380,363.046,2701,662,553,1125,46.566
24,303.354,171.104,1332,266,180,2828,117.057
