Label,Mean,StdDev,Max,Median,Mode,NumberOfVoxels,Volume
1,819.738,377.634,3170,724,593,4909,203.194
2,740.710,433.345,3646,634,485,4022,166.479
3,1205.407,761.826,4095,1177,0,2447,101.287
4,2292.439,1272.503,4095,2436,0,7100,293.884
5,2100.360,924.529,4095,2055,4095,3374,139.657
6,1450.912,796.196,4095,1284,4095,2783,115.194
7,729.512,444.423,3884,689,0,11037,456.845
8,1732.582,1500.293,4095,1729,0,2467,102.114
9,1901.285,1167.202,4095,1995,0,4375,181.091
10,1900.255,1041.174,4095,1900,0,5027,208.078
11,1172.423,767.623,4095,1091,0,6844,283.288
12,1158.188,931.988,4095,1102,0,2225,92.097
13,836.170,368.948,2663,765,603,1205,49.877
14,755.955,490.868,3273,687,0,1728,71.526
15,612.492,351.540,2848,550,0,11607,480.438
16,728.078,517.060,3965,683,0,5465,226.208
17,303.588,215.684,1528,267,0,1900,78.645
18,542.263,352.638,2353,502,0,5416,224.180
19,472.225,348.414,3481,422,0,10375,429.443
20,257.561,210.144,1648,226,0,2691,111.386
21,472.223,256.425,1814,408,283,1616,66.890
22,547.352,233.566,1752,530,455,2063,85.392
23,627.351,389.959,2701,579,0,1659,68.670
24,252.670,165.035,1568,218,211,10403,430.602
25,415.438,200.322,1764,381,368,2620,108.447
26,548.949,267.183,1924,506,0,2282,94.457
27,404.340,271.749,2416,344,264,2275,94.167
28,278.200,164.826,1184,244,170,3005,124.383
29,481.996,230.646,1793,440,387,2555,105.757
30,227.126,144.069,1172,197,152,1983,82.081
31,262.399,175.391,1167,223,160,1078,44.621
32,326.600,214.646,1702,278,287,5142,212.838
33,211.666,102.175,865,196,165,3918,162.174
34,173.047,109.379,783,162,0,1200,49.671
35,129.011,97.809,696,109,0,1236,51.161
36,257.092,140.945,939,229,142,873,36.135
37,235.806,145.973,1135,209,196,3230,133.697
38,165.759,89.100,607,151,139,903,37.377
40,225.564,102.407,711,215,194,408,16.888
42,600.608,285.269,1641,620,0,2271,94.001
74,473.000,90.000,563,563,383,2,0.083
77,711.819,277.722,1996,667,630,603,24.959
78,460.526,164.743,1162,434,358,1427,59.067
