Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,0.915,24.633,707.000,0,0,0,2173,89.945
2,0.000,0.000,4.900E-324,0,0,0,6559,271.491
3,0.000,0.000,4.900E-324,0,0,0,6063,250.960
4,425.659,501.346,3491.000,0,0,0,14454,598.282
5,337.909,626.646,4095.000,0,0,0,6124,253.485
6,0.000,0.000,4.900E-324,0,0,0,3702,153.234
7,0.000,0.000,4.900E-324,0,0,0,5087,210.562
8,343.942,514.836,2709.000,0,0,0,5773,238.957
9,1110.900,1299.287,4095.000,0,0,0,8438,349.267
10,993.798,1008.545,4095.000,0,879,0,8713,360.649
11,516.567,926.698,4095.000,0,0,0,2990,123.762
12,630.590,833.044,4095.000,0,0,0,5285,218.757
13,0.000,0.000,4.900E-324,0,0,0,7726,319.795
14,901.841,1315.640,4095.000,0,0,0,8810,364.665
15,454.088,917.842,4095.000,0,0,0,7874,325.922
16,735.819,766.894,4095.000,0,677,0,12930,535.200
17,324.853,764.791,4095.000,0,0,0,6472,267.890
18,1001.060,1013.395,4095.000,0,954,0,6107,252.782
19,811.332,927.187,4095.000,0,0,0,9613,397.902
20,549.580,797.974,4095.000,0,0,0,3613,149.550
21,629.536,862.321,4095.000,0,0,0,3563,147.480
22,951.982,974.695,4095.000,0,901,0,5854,242.309
23,499.634,807.731,4095.000,0,0,0,8504,351.999
24,588.334,1073.203,4095.000,0,0,0,4499,186.223
25,0.000,0.000,4.900E-324,0,0,0,8051,333.248
26,397.820,639.286,2879.000,0,0,0,2804,116.063
27,358.212,476.342,2494.000,0,0,0,8233,340.781
28,734.148,890.296,4095.000,0,0,0,3820,158.118
29,300.552,586.605,2929.000,0,0,0,3384,140.071
30,153.503,434.513,2453.000,0,0,0,3428,141.892
31,890.049,833.424,4095.000,0,1014,0,5846,241.978
32,509.137,692.711,4095.000,0,0,0,5278,218.468
33,794.271,851.107,3815.000,0,693,0,5399,223.476
34,213.402,440.832,3557.000,0,0,0,2647,109.565
35,317.253,524.769,2204.000,0,0,0,8475,350.798
36,0.000,0.000,4.900E-324,0,0,0,5125,212.135
37,374.571,506.173,2108.000,0,0,0,5210,215.653
38,299.142,537.483,2565.000,0,0,0,5138,212.673
39,74.737,300.820,2812.000,0,0,0,2727,112.876
40,0.000,0.000,4.900E-324,0,0,0,846,35.018
41,437.246,777.434,3307.000,0,0,0,3293,136.304
42,617.899,926.924,4095.000,0,0,0,3024,125.170
43,733.423,991.066,4084.000,0,0,0,5308,219.709
44,768.176,892.718,3964.000,0,312,0,6436,266.400
45,942.640,972.340,3900.000,0,865,0,11763,486.895
46,668.311,991.298,4095.000,0,0,0,3563,147.480
47,0.000,0.000,4.900E-324,0,0,0,671,27.774
48,988.263,1005.954,4095.000,0,936,0,22899,947.838
49,748.248,850.901,4044.000,0,0,0,6185,256.010
50,502.578,717.677,4095.000,0,0,0,4455,184.402
51,298.805,380.220,3243.000,0,0,0,10781,446.248
52,0.000,0.000,4.900E-324,0,0,0,2977,123.224
53,192.858,253.062,1256.000,0,0,0,7953,329.191
54,18.331,162.731,2093.000,0,0,0,2604,107.785
55,955.326,893.008,4027.000,0,1090,0,10126,419.137
56,390.182,673.946,3299.000,0,0,0,4062,168.135
57,89.088,334.101,2324.000,0,0,0,1359,56.252
58,825.375,839.879,4095.000,0,764,0,8913,368.928
59,834.424,907.418,4095.000,0,669,0,10445,432.341
60,862.370,874.575,4095.000,0,842,0,9542,394.964
61,1210.841,1137.511,4095.000,0,1289,0,9043,374.309
62,550.012,669.814,3117.000,0,0,0,5693,235.645
63,896.862,881.229,4095.000,0,998,0,11014,455.893
64,708.664,954.238,4095.000,0,0,0,5766,238.667
65,631.767,921.890,4095.000,0,0,0,19904,823.869
66,903.257,962.993,4095.000,0,817,0,5802,240.157
67,683.908,863.075,4095.000,0,312,0,7980,330.309
68,195.525,523.578,2812.000,0,0,0,2491,103.108
69,252.217,458.326,2067.000,0,0,0,3133,129.681
70,571.423,579.193,2824.000,0,588,0,22581,934.675
71,159.863,346.993,2250.000,0,0,0,2879,119.168
72,73.157,191.090,1664.000,0,0,0,2466,102.073
73,0.000,0.000,4.900E-324,0,0,0,3025,125.211
74,199.223,431.812,3116.000,0,0,0,4168,172.522
75,797.331,1042.783,4095.000,0,0,0,13765,569.762
76,467.651,560.312,2708.000,0,0,0,5858,242.475
77,1122.230,864.865,4095.000,0,1232,0,21898,906.405
78,1012.209,1020.331,4095.000,0,1041,0,11089,458.997
79,403.510,537.369,2834.000,0,0,0,7064,292.394
80,0.000,0.000,4.900E-324,0,0,0,3640,150.667
81,1134.683,1014.049,4095.000,0,1390,0,7837,324.390
82,20.401,90.735,839.000,0,0,0,5041,208.658
83,604.179,791.407,3422.000,0,0,0,5417,224.221
84,324.863,446.117,2235.000,0,0,0,6731,278.610
85,0.000,0.000,4.900E-324,0,0,0,196,8.113
