Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,0.000,0.000,4.900E-324,0,0,0,687,28.436
2,0.000,0.000,4.900E-324,0,0,0,1431,59.232
3,871.141,1216.567,4095.000,0,0,0,5606,232.044
4,375.163,533.014,2370.000,0,0,0,4462,184.692
5,327.104,1028.091,4095.000,0,0,0,4070,168.466
6,1137.932,1307.064,4095.000,0,0,0,4590,189.990
7,1468.624,1415.230,4095.000,0,1720,0,4583,189.700
8,306.832,466.597,2239.000,0,0,0,4784,198.020
9,1239.952,1279.273,4095.000,0,1147,0,5014,207.540
10,776.648,1199.885,4095.000,0,0,0,2903,120.161
11,1243.990,1187.229,4095.000,0,1359,0,4739,196.157
12,0.000,0.000,4.900E-324,0,0,0,5814,240.654
13,0.000,0.000,4.900E-324,0,0,0,6341,262.467
14,1440.641,1481.903,4095.000,0,1455,0,7651,316.691
15,0.000,0.000,4.900E-324,0,0,0,2937,121.569
16,444.438,472.976,3182.000,0,462,0,11293,467.441
17,294.040,363.720,1937.000,0,0,0,10231,423.483
18,633.537,1013.579,3865.000,0,0,0,2326,96.278
19,82.949,230.908,1055.000,0,0,0,1459,60.391
20,725.008,741.707,3792.000,0,762,0,11781,487.641
21,88.417,258.176,1114.000,0,0,0,1658,68.628
22,128.712,229.316,1275.000,0,0,0,2113,87.462
23,453.554,582.647,2242.000,0,0,0,4316,178.648
24,0.000,0.000,4.900E-324,0,0,0,1677,69.415
25,341.663,569.132,4095.000,0,0,0,4327,179.104
26,0.000,0.000,4.900E-324,0,0,0,1498,62.005
27,0.000,0.000,4.900E-324,0,0,0,4351,180.097
28,1897.657,1672.044,4095.000,0,2374,0,10964,453.823
29,955.195,1137.215,4095.000,0,0,0,4557,188.624
30,0.000,0.000,4.900E-324,0,0,0,2181,90.276
31,610.630,778.905,3221.000,0,0,0,3397,140.609
32,0.000,0.000,4.900E-324,0,0,0,5456,225.835
33,310.036,527.952,3567.000,0,0,0,5667,234.569
34,1253.418,1241.473,4095.000,0,1473,0,7917,327.701
35,0.000,0.000,4.900E-324,0,0,0,12438,514.835
36,1417.719,1403.239,4095.000,0,1421,0,11123,460.404
37,381.258,545.837,3763.000,0,0,0,3704,153.316
38,0.000,0.000,4.900E-324,0,0,0,1774,73.430
39,0.000,0.000,4.900E-324,0,0,0,10805,447.242
40,575.083,955.711,4095.000,0,0,0,2395,99.134
41,0.000,0.000,4.900E-324,0,0,0,3103,128.440
42,452.700,561.654,2212.000,0,0,0,3667,151.785
43,235.820,393.976,1748.000,0,0,0,2853,118.092
44,532.503,825.616,3883.000,0,0,0,6897,285.481
45,480.793,628.567,2818.000,0,0,0,6769,280.183
46,0.000,0.000,4.900E-324,0,0,0,4018,166.314
47,0.000,0.000,4.900E-324,0,0,0,5476,226.663
48,0.000,0.000,4.900E-324,0,0,0,6156,254.810
49,790.374,1200.478,4095.000,0,0,0,3824,158.283
50,0.000,0.000,4.900E-324,0,0,0,34,1.407
51,1.104,41.211,1652.000,0,0,0,4162,172.274
52,5.504,69.998,1343.000,0,0,0,3769,156.007
53,155.162,414.562,2606.000,0,0,0,4257,176.206
54,278.212,413.381,1676.000,0,0,0,3474,143.796
55,246.863,521.434,2742.000,0,0,0,3264,135.104
56,83.306,484.829,3881.000,0,0,0,1012,41.889
57,810.389,924.997,4095.000,0,624,0,15550,643.647
58,0.000,0.000,4.900E-324,0,0,0,2722,112.669
59,1256.352,1849.426,4095.000,0,0,0,3898,161.346
60,0.000,0.000,4.900E-324,0,0,0,3775,156.255
61,602.154,845.208,2879.000,0,0,0,1789,74.050
62,1629.319,1826.969,4095.000,0,0,0,6801,281.508
63,0.000,0.000,4.900E-324,0,0,0,3535,146.321
64,85.920,475.589,4095.000,0,0,0,8568,354.648
65,1127.334,1626.308,4095.000,0,0,0,2626,108.696
66,0.131,10.981,921.000,0,0,0,7034,291.152
67,0.000,0.000,4.900E-324,0,0,0,3984,164.906
68,869.024,1557.590,4095.000,0,0,0,2416,100.003
69,320.224,579.334,4095.000,0,0,0,5749,237.963
70,1286.748,1332.274,4095.000,0,1428,0,7193,297.733
71,0.000,0.000,4.900E-324,0,0,0,3244,134.276
72,1016.652,1045.728,3660.000,0,1128,0,4707,194.833
73,0.000,0.000,4.900E-324,0,0,0,1374,56.873
74,962.193,1034.122,3379.000,0,0,0,4716,195.205
75,238.158,400.978,2950.000,0,0,0,3995,165.361
76,31.675,204.875,1995.000,0,0,0,2555,105.757
77,254.508,645.630,4095.000,0,0,0,6156,254.810
78,982.380,1387.231,4095.000,0,0,0,5912,244.710
79,0.000,0.000,4.900E-324,0,0,0,5939,245.828
80,769.526,1507.457,4095.000,0,0,0,6396,264.744
81,1723.765,2011.014,4095.000,0,0,0,4422,183.036
82,361.992,744.381,4095.000,0,0,0,10357,428.698
83,0.000,0.000,4.900E-324,0,0,0,2269,93.919
84,882.812,1304.526,4095.000,0,0,0,6516,269.711
85,727.576,1053.983,4095.000,0,0,0,3503,144.997
86,838.812,1021.384,4095.000,0,417,0,6223,257.583
87,415.822,927.841,4064.000,0,0,0,3303,136.718
88,1084.687,1541.460,4095.000,0,0,0,3168,131.130
89,1924.175,2020.380,4095.000,0,0,0,5947,246.159
90,543.705,996.646,4095.000,0,0,0,3019,124.963
91,226.747,539.406,4095.000,0,0,0,17253,714.138
92,611.535,839.687,4095.000,0,0,0,4168,172.522
93,1436.330,1589.645,4095.000,0,0,0,5568,230.471
94,374.816,621.303,2419.000,0,0,0,4507,186.554
95,924.598,1641.925,4095.000,0,0,0,5311,219.834
96,0.000,0.000,4.900E-324,0,0,0,1717,71.070
97,0.000,0.000,4.900E-324,0,0,0,4113,170.246
