 Nucleus,Area,Mean,Min,Max,Sample,Channel
11,149.012,2764.418,569,4095,5,0
11,149.012,1045.367,133,4095,5,0
11,149.012,379.401,30,890,5,0
11,149.012,58.424,0,189,5,1
11,149.012,172.428,10,475,5,1
11,149.012,510.675,37,1798,5,1
11,149.012,923.506,115,3210,5,1
11,149.012,1108.187,161,2954,5,1
11,149.012,1130.059,196,2421,5,1
11,149.012,802.147,138,2587,5,1
11,149.012,277.485,8,1293,5,1
11,149.012,118.512,0,318,5,1
1,245.704,492.057,0,1929,8,0
1,245.704,2123.767,275,4095,8,0
1,245.704,3769.396,1330,4095,8,0
1,245.704,3920.978,1788,4095,8,0
1,245.704,3879.476,1491,4095,8,0
1,245.704,3481.227,903,4095,8,0
1,245.704,2101.458,278,4095,8,0
1,245.704,539.202,47,1757,8,1
1,245.704,1718.412,261,4095,8,1
1,245.704,1885.676,312,4095,8,1
1,245.704,1867.687,250,4095,8,1
1,245.704,1822.081,174,4095,8,1
1,245.704,1439.216,116,4095,8,1
1,245.704,724.491,47,3605,8,1
2,137.505,316.685,0,1020,8,0
2,137.505,1706.553,419,4095,8,0
2,137.505,3285.005,1227,4095,8,0
2,137.505,3322.648,967,4095,8,0
2,137.505,2512.513,584,4095,8,0
2,137.505,893.803,93,4095,8,0
2,137.505,347.113,16,1170,8,0
2,137.505,558.004,89,4095,8,1
2,137.505,1535.759,217,4095,8,1
2,137.505,1737.374,390,3982,8,1
2,137.505,1747.634,277,4095,8,1
2,137.505,1090.677,151,4095,8,1
2,137.505,408.84,8,2380,8,1
2,137.505,177.069,0,645,8,1
3,190.569,71.645,0,361,8,0
3,190.569,356.565,3,1312,8,0
3,190.569,943.991,269,3182,8,0
3,190.569,2280.474,649,4095,8,0
3,190.569,2927.67,608,4095,8,0
3,190.569,2705.433,516,4095,8,0
3,190.569,1306.589,111,4095,8,0
3,190.569,139.343,0,665,8,1
3,190.569,602.5,26,4095,8,1
3,190.569,1158.079,191,4095,8,1
3,190.569,1357.396,195,3594,8,1
3,190.569,1388.105,219,3450,8,1
3,190.569,1005.843,83,3867,8,1
3,190.569,362.352,31,1325,8,1
4,174.426,129.309,0,562,8,0
4,174.426,604.021,51,2197,8,0
4,174.426,1622.835,223,4095,8,0
4,174.426,3051.32,917,4095,8,0
4,174.426,3304.957,683,4095,8,0
4,174.426,2872.492,916,4095,8,0
4,174.426,1270.408,277,4095,8,0
4,174.426,138.227,0,438,8,1
4,174.426,578.322,54,4095,8,1
4,174.426,1303.564,222,4095,8,1
4,174.426,1755.202,298,4095,8,1
4,174.426,1857.332,224,4095,8,1
4,174.426,1254.599,250,3723,8,1
4,174.426,445.072,24,1559,8,1
5,231.547,71.185,0,389,8,0
5,231.547,361.472,0,1595,8,0
5,231.547,928.338,117,4095,8,0
5,231.547,2078.467,462,4095,8,0
5,231.547,2551.857,311,4095,8,0
5,231.547,2036.536,476,4095,8,0
5,231.547,788.004,109,3312,8,0
5,231.547,107.192,0,460,8,1
5,231.547,458.069,13,2468,8,1
5,231.547,958.612,77,4095,8,1
5,231.547,1223.159,152,3175,8,1
5,231.547,1145.962,145,3230,8,1
5,231.547,622.658,68,2061,8,1
5,231.547,224.036,0,739,8,1
6,244.71,49.541,0,292,8,0
6,244.71,197.479,0,729,8,0
6,244.71,627.439,36,3072,8,0
6,244.71,2385.795,243,4095,8,0
6,244.71,3501.936,1066,4095,8,0
6,244.71,3287.738,543,4095,8,0
6,244.71,3067.321,428,4095,8,0
6,244.71,90.698,0,407,8,1
6,244.71,279.219,0,2460,8,1
6,244.71,883.045,71,4095,8,1
6,244.71,1551.182,225,4095,8,1
6,244.71,1610.187,228,4095,8,1
6,244.71,1571.445,125,3696,8,1
6,244.71,1353.806,158,4095,8,1
7,463.592,103.63,0,594,8,0
7,463.592,338.903,0,1661,8,0
7,463.592,813.296,116,3943,8,0
7,463.592,1819.646,435,4095,8,0
7,463.592,2965.257,775,4095,8,0
7,463.592,2928.207,463,4095,8,0
7,463.592,1912.567,221,4095,8,0
7,463.592,72.212,0,380,8,1
7,463.592,213.452,0,965,8,1
7,463.592,511.511,5,2651,8,1
7,463.592,862.405,18,2893,8,1
7,463.592,1047.971,79,2904,8,1
7,463.592,995.682,85,3598,8,1
7,463.592,582.69,24,3550,8,1
8,72.519,51.985,0,282,8,0
8,72.519,257.256,0,998,8,0
8,72.519,984.861,171,3260,8,0
8,72.519,2727.962,718,4095,8,0
8,72.519,3259.402,655,4095,8,0
8,72.519,2944.318,718,4095,8,0
8,72.519,1688.1,169,4095,8,0
8,72.519,100.667,0,330,8,1
8,72.519,346.434,21,1088,8,1
8,72.519,1104.285,66,3722,8,1
8,72.519,1901.257,204,4095,8,1
8,72.519,1899.716,273,4095,8,1
8,72.519,1377.816,234,4095,8,1
8,72.519,589.514,44,2818,8,1
