 ,Area,Mean,Min,Max
1,245.704,492.057,0,1929
2,245.704,2123.767,275,4095
3,245.704,3769.396,1330,4095
4,245.704,3920.978,1788,4095
5,245.704,3879.476,1491,4095
6,245.704,3481.227,903,4095
7,245.704,2101.458,278,4095
8,245.704,539.202,47,1757
9,245.704,1718.412,261,4095
10,245.704,1885.676,312,4095
11,245.704,1867.687,250,4095
12,245.704,1822.081,174,4095
13,245.704,1439.216,116,4095
14,245.704,724.491,47,3605
15,137.505,316.685,0,1020
16,137.505,1706.553,419,4095
17,137.505,3285.005,1227,4095
18,137.505,3322.648,967,4095
19,137.505,2512.513,584,4095
20,137.505,893.803,93,4095
21,137.505,347.113,16,1170
22,137.505,558.004,89,4095
23,137.505,1535.759,217,4095
24,137.505,1737.374,390,3982
25,137.505,1747.634,277,4095
26,137.505,1090.677,151,4095
27,137.505,408.840,8,2380
28,137.505,177.069,0,645
29,190.569,71.645,0,361
30,190.569,356.565,3,1312
31,190.569,943.991,269,3182
32,190.569,2280.474,649,4095
33,190.569,2927.670,608,4095
34,190.569,2705.433,516,4095
35,190.569,1306.589,111,4095
36,190.569,139.343,0,665
37,190.569,602.500,26,4095
38,190.569,1158.079,191,4095
39,190.569,1357.396,195,3594
40,190.569,1388.105,219,3450
41,190.569,1005.843,83,3867
42,190.569,362.352,31,1325
43,174.426,129.309,0,562
44,174.426,604.021,51,2197
45,174.426,1622.835,223,4095
46,174.426,3051.320,917,4095
47,174.426,3304.957,683,4095
48,174.426,2872.492,916,4095
49,174.426,1270.408,277,4095
50,174.426,138.227,0,438
51,174.426,578.322,54,4095
52,174.426,1303.564,222,4095
53,174.426,1755.202,298,4095
54,174.426,1857.332,224,4095
55,174.426,1254.599,250,3723
56,174.426,445.072,24,1559
57,231.547,71.185,0,389
58,231.547,361.472,0,1595
59,231.547,928.338,117,4095
60,231.547,2078.467,462,4095
61,231.547,2551.857,311,4095
62,231.547,2036.536,476,4095
63,231.547,788.004,109,3312
64,231.547,107.192,0,460
65,231.547,458.069,13,2468
66,231.547,958.612,77,4095
67,231.547,1223.159,152,3175
68,231.547,1145.962,145,3230
69,231.547,622.658,68,2061
70,231.547,224.036,0,739
