Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,31.266,37.411,191,0,17,0,790,32.700
2,17.943,29.249,197,0,0,0,2380,98.513
3,33.993,46.415,361,0,11,0,2064,85.433
4,29.440,41.433,241,0,7,0,2252,93.215
5,66.025,62.662,361,0,54,0,11192,463.261
6,113.316,125.274,609,0,70,0,4867,201.455
7,24.046,34.850,241,0,3,0,3100,128.316
8,24.932,27.133,155,0,17,0,5604,231.961
9,39.198,51.974,393,0,15,0,5357,221.738
10,16.255,27.303,196,0,0,0,3312,137.091
11,134.981,151.684,607,0,70,0,942,38.991
12,97.861,94.706,472,0,77,0,2878,119.127
13,113.635,112.728,637,0,85,0,2944,121.858
14,166.525,183.218,1368,0,115,0,2547,105.426
15,68.044,65.589,385,0,55,0,21889,906.032
16,36.239,45.309,261,0,17,0,6403,265.034
17,10.126,20.160,155,0,0,0,3964,164.078
18,35.989,45.855,254,0,16,0,5978,247.442
19,24.834,35.312,204,0,5,0,3217,133.158
20,87.541,91.073,514,0,63,0,9736,402.994
21,127.779,141.371,876,0,79,0,7726,319.795
22,75.243,71.491,537,0,62,0,9956,412.100
23,214.465,195.877,2007,0,182,0,14573,603.207
24,15.496,22.990,232,0,4,0,11446,473.774
25,22.067,25.613,150,0,14,0,2999,124.135
26,153.428,112.857,545,0,135,0,2853,118.092
27,22.380,28.931,181,0,10,0,3236,133.945
28,56.868,56.978,382,0,41,0,2007,83.074
29,55.464,60.363,340,0,38,0,6385,264.289
30,51.016,59.407,415,0,31,0,2356,97.520
31,157.045,212.714,1171,0,64,0,3058,126.577
32,64.938,74.694,531,0,38,0,3710,153.565
33,460.125,553.240,4041,0,241,0,4045,167.431
34,639.390,950.245,4095,0,209,0,2560,105.964
35,57.202,62.341,370,0,39,0,4450,184.195
36,490.177,418.680,4095,0,435,0,9757,403.863
37,98.383,143.667,894,0,42,0,2648,109.606
38,65.331,71.526,418,0,43,0,5728,237.094
39,141.970,135.617,778,0,115,0,8784,363.588
40,40.470,47.952,289,0,24,0,13185,545.755
41,30.564,40.087,232,0,11,0,6843,283.246
42,304.069,209.213,1946,0,270,0,2138,88.496
43,55.756,62.618,341,0,35,0,3982,164.823
44,420.220,312.478,2354,0,358,0,1790,74.092
45,104.581,109.854,721,0,76,0,9814,406.222
46,309.617,598.277,4095,0,92,0,4071,168.507
47,112.141,116.965,748,0,85,0,4334,179.393
48,377.032,524.566,4095,0,212,0,6803,281.591
49,52.295,54.752,337,0,38,0,3603,149.136
50,312.192,208.605,2515,0,269,257,5733,237.301
51,58.025,71.661,438,0,30,0,2971,122.976
52,197.183,187.136,1493,0,174,0,9677,400.551
53,79.822,80.133,450,0,61,0,4485,185.644
54,202.719,170.394,1433,0,178,0,5568,230.471
55,46.976,50.075,328,0,33,0,8477,350.881
56,111.693,106.619,795,0,94,0,6184,255.969
57,311.283,223.267,1785,0,277,0,6248,258.618
58,392.411,339.773,1812,0,361,0,5291,219.006
59,106.721,89.887,564,0,98,0,9417,389.790
60,108.809,91.918,480,0,100,0,9574,396.288
61,914.590,745.939,4095,0,779,0,4227,174.964
62,856.913,877.995,4095,0,631,0,4013,166.107
63,599.043,520.243,4071,0,531,0,5034,208.368
64,1959.849,1732.320,4095,0,1928,4095,1672,69.208
65,172.794,122.623,934,0,160,0,3944,163.250
66,182.943,165.785,1213,0,162,0,9069,375.385
67,444.467,353.462,2837,0,433,0,8267,342.189
68,1829.941,1571.658,4095,0,1687,0,2943,121.817
69,2389.418,1265.194,4095,0,2602,4095,1549,64.116
70,2573.420,1836.356,4095,0,4095,4095,3201,132.496
71,104.065,90.609,518,0,91,0,1923,79.597
72,98.132,84.712,443,0,88,0,6511,269.504
73,123.994,161.577,4095,0,103,0,6675,276.292
74,305.981,225.932,2015,0,276,0,13171,545.176
75,70.210,83.779,511,0,40,0,3985,164.948
76,593.911,556.092,4095,0,501,0,6959,288.048
77,124.451,119.633,1087,0,105,0,7965,329.688
78,1429.282,1145.625,4095,0,1327,4095,864,35.763
79,422.949,295.923,3082,13,355,185,6177,255.679
80,182.565,135.854,1023,0,170,0,6924,286.599
81,169.085,125.768,828,0,165,0,4800,198.682
82,456.047,504.866,4055,0,299,0,9848,407.630
83,1865.906,1287.873,4095,0,2002,0,3230,133.697
84,274.284,257.513,1374,0,225,0,4364,180.635
85,3337.064,801.701,4095,1022,3611,4095,484,20.034
86,370.619,235.729,2051,0,330,298,2355,97.478
87,1655.700,683.616,4095,281,1657,4095,320,13.245
