Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,16.028,34.044,184,0,0,0,290,12.004
2,243.678,147.235,1298,0,226,0,4132,171.032
3,174.907,136.506,748,0,176,0,6193,256.341
4,958.017,530.491,3848,0,847,0,2925,121.072
5,2009.454,1273.914,4095,0,2092,0,4070,168.466
6,250.832,206.657,1134,0,250,0,6518,269.794
7,1482.883,994.987,4095,0,1603,0,5903,244.338
8,1853.911,1598.077,4095,0,1725,4095,541,22.393
9,324.133,316.217,1455,0,279,0,4826,199.758
10,625.271,620.536,4095,0,615,0,10383,429.774
11,1160.430,271.573,1917,614,1153,1016,93,3.849
12,2499.955,1345.158,4095,0,2755,4095,7642,316.319
13,2533.324,1488.220,4095,0,2943,4095,4766,197.275
14,650.865,456.368,3261,0,623,0,11870,491.324
15,2429.090,1803.332,4095,0,3326,4095,4843,200.462
16,286.072,254.350,1573,0,289,0,8453,349.888
17,164.900,170.407,872,0,133,0,4454,184.360
18,1685.123,785.810,4095,317,1525,4095,3401,140.775
19,116.484,101.976,785,0,107,0,12609,521.913
20,1963.945,1527.964,4095,0,2045,0,5808,240.405
21,2356.666,1905.168,4095,0,3699,4095,5609,232.168
22,138.073,148.908,784,0,103,0,4339,179.600
23,2382.206,1811.937,4095,0,3274,4095,7988,330.640
24,103.003,128.569,704,0,47,0,998,41.309
25,2155.558,1640.346,4095,0,2623,0,6831,282.750
26,458.090,564.107,4095,0,362,0,5721,236.804
27,275.638,186.782,1522,0,264,0,14515,600.807
28,1563.565,878.038,4095,0,1413,4095,6823,282.418
29,224.590,154.097,895,0,223,0,2593,107.330
30,313.161,258.617,1551,0,318,0,5038,208.533
31,81.953,93.236,480,0,47,0,1163,48.139
32,591.059,563.229,4095,0,640,0,4559,188.707
33,537.935,510.582,2695,0,569,0,4888,202.325
34,186.385,118.057,671,0,181,0,5300,219.378
35,164.249,136.759,960,0,150,0,14708,608.795
36,2025.171,1069.201,4095,0,2006,4095,3027,125.294
37,144.757,146.951,810,0,120,0,5741,237.632
38,1811.334,1683.569,4095,0,1783,0,515,21.317
39,203.070,191.308,1074,0,183,0,9932,411.106
40,793.291,721.796,4095,0,794,0,5621,232.665
41,2118.261,1545.487,4095,0,2312,0,5076,210.106
42,2461.587,1505.209,4095,0,2884,4095,5523,228.609
43,289.100,266.934,1277,0,287,0,4669,193.260
44,2222.876,1452.601,4095,0,2487,0,2431,100.624
45,76.610,70.217,383,0,67,0,5998,248.270
46,210.909,204.560,948,0,188,0,6339,262.385
47,1977.794,1697.935,4095,0,2157,0,6453,267.103
48,309.809,320.448,2130,0,259,0,5292,219.047
49,329.365,316.878,2048,0,297,0,6232,257.956
50,2136.853,1157.213,4095,0,2164,4095,2669,110.476
51,2239.402,926.723,4095,0,2092,4095,1173,48.553
52,1364.614,869.662,4095,0,1271,0,10235,423.648
53,313.105,217.308,1281,0,332,0,10242,423.938
54,1640.947,1007.838,4095,0,1526,4095,6830,282.708
55,581.836,532.690,3300,0,551,0,9013,373.067
56,1268.668,715.355,4095,102,1099,737,2568,106.295
57,260.307,203.242,1046,0,277,0,4557,188.624
58,1899.653,766.077,4095,0,1751,4095,2365,97.892
59,408.768,227.518,1650,0,381,0,5229,216.439
60,237.682,126.668,643,0,254,0,3379,139.864
61,1594.968,650.541,4095,0,1502,0,1560,64.572
62,164.345,139.713,852,0,158,0,11502,476.092
63,2344.666,1331.373,4095,0,2452,4095,1787,73.968
64,535.193,291.541,2065,0,547,0,3494,144.624
65,207.884,182.997,1178,0,183,0,4599,190.362
66,85.429,89.942,550,0,70,0,4119,170.494
67,1413.132,1244.758,4095,0,1492,0,1929,79.845
68,2094.360,1289.677,4095,0,2146,4095,4415,182.746
69,1738.197,915.565,4095,2,1572,4095,2157,89.283
70,198.345,197.110,1777,0,179,0,4288,177.489
71,2359.447,1421.934,4095,0,2621,4095,5286,218.799
72,226.000,192.502,1269,0,231,0,11278,466.820
