Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,197.703,168.739,602,0,184,0,290,12.004
2,861.985,473.089,3927,0,783,0,4132,171.032
3,988.054,727.074,4095,0,1012,0,6193,256.341
4,856.183,419.512,3445,0,777,748,2925,121.072
5,1579.220,1136.304,4095,0,1539,0,4070,168.466
6,1022.016,778.976,4095,0,1035,0,6518,269.794
7,1717.320,1145.639,4095,0,1836,0,5903,244.338
8,1178.828,1235.078,4095,0,782,0,541,22.393
9,1500.447,1412.882,4095,0,1332,0,4826,199.758
10,2204.630,1659.813,4095,0,2709,0,10383,429.774
11,240.247,81.350,540,51,237,157,93,3.849
12,1811.789,1153.759,4095,0,1830,0,7642,316.319
13,1577.448,1115.516,4095,0,1638,0,4766,197.275
14,1748.169,1042.819,4095,0,1751,0,11870,491.324
15,2072.898,1661.124,4095,0,2321,4095,4843,200.462
16,1979.152,1564.875,4095,0,2277,0,8453,349.888
17,1786.316,1667.678,4095,0,1964,0,4454,184.360
18,351.400,207.720,2038,0,308,317,3401,140.775
19,1100.842,820.446,4095,0,1130,0,12609,521.913
20,1550.120,1293.727,4095,0,1433,0,5808,240.405
21,2229.150,1854.214,4095,0,2883,4095,5609,232.168
22,1524.817,1451.915,4095,0,1676,0,4339,179.600
23,2373.723,1809.726,4095,0,3232,4095,7988,330.640
24,671.793,952.017,4095,0,232,0,998,41.309
25,2416.181,1813.433,4095,0,3385,4095,6831,282.750
26,2022.803,1621.850,4095,0,2347,0,5721,236.804
27,1232.724,785.803,4095,0,1154,0,14515,600.807
28,274.272,201.426,1787,0,243,0,6823,282.418
29,943.938,602.989,3857,0,939,0,2593,107.330
30,1428.383,1074.045,4095,0,1485,0,5038,208.533
31,362.644,308.856,1163,0,331,0,1163,48.139
32,2357.889,1872.525,4095,0,3420,4095,4559,188.707
33,2382.522,1857.157,4095,0,3449,4095,4888,202.325
34,961.831,528.684,3892,0,916,0,5300,219.378
35,1104.160,819.553,4095,0,1003,0,14708,608.795
36,390.229,367.649,3232,0,289,0,3027,125.294
37,1459.134,1238.003,4095,0,1474,0,5741,237.632
38,1031.256,1111.136,4095,0,671,0,515,21.317
39,1724.180,1495.993,4095,0,1782,0,9932,411.106
40,1779.886,1373.710,4095,0,1922,0,5621,232.665
