Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,31.464,44.054,300,0,8,0,2896,119.872
2,3.556,13.819,132,0,0,0,340,14.073
3,2.403,9.545,100,0,0,0,1986,82.205
4,9.162,20.861,193,0,0,0,5685,235.314
5,31.203,54.529,400,0,0,0,4327,179.104
6,67.241,60.039,604,0,56,0,2841,117.595
7,23.204,36.283,238,0,0,0,2270,93.960
8,42.082,46.507,354,0,28,0,3478,143.962
9,36.192,57.214,463,0,9,0,1890,78.231
10,12.561,26.293,228,0,0,0,4686,193.963
11,19.742,37.339,290,0,0,0,2986,123.597
12,2.427,9.193,121,0,0,0,2370,98.099
13,15.667,28.340,234,0,0,0,9565,395.916
14,3.486,11.966,158,0,0,0,3452,142.886
15,7.411,15.914,157,0,0,0,5445,225.380
16,11.560,24.965,227,0,0,0,4276,176.993
17,998.461,1416.750,4095,0,158,0,764,31.624
18,34.049,54.428,397,0,0,0,4362,180.552
19,451.896,906.952,4095,0,52,0,202,8.361
20,27.737,39.748,311,0,5,0,10880,450.346
21,5.439,14.880,120,0,0,0,1497,61.964
22,6.026,15.618,163,0,0,0,6256,258.949
23,7.238,17.877,177,0,0,0,4822,199.593
24,9.828,22.326,246,0,0,0,5982,247.608
25,9.624,20.428,172,0,0,0,11696,484.122
26,9.617,23.404,258,0,0,0,6047,250.298
27,12.700,25.402,218,0,0,0,5355,221.655
28,32.113,49.165,493,0,13,0,4395,181.918
29,11.927,25.776,204,0,0,0,4030,166.810
30,2.056,8.642,115,0,0,0,3661,151.537
31,3.863,12.109,142,0,0,0,7826,323.935
32,23.299,38.850,296,0,1,0,3935,162.878
33,26.608,35.496,288,0,11,0,9619,398.151
34,20.091,35.783,274,0,0,0,3912,161.926
35,1.181,4.727,67,0,0,0,2714,112.338
36,4.441,13.952,192,0,0,0,5342,221.117
37,5.488,15.036,152,0,0,0,5501,227.698
38,2.851,10.277,114,0,0,0,6770,280.225
39,70.298,90.944,638,0,31,0,7357,304.522
40,7.944,19.832,190,0,0,0,8014,331.716
41,65.481,171.002,1109,0,0,0,1878,77.734
42,671.218,338.011,1554,0,733,0,4042,167.307
43,615.551,268.117,1793,0,638,0,7040,291.400
44,11.542,22.234,201,0,0,0,5016,207.623
45,86.153,185.336,3154,0,32,0,9380,388.258
46,17.358,31.854,212,0,0,0,4835,200.131
47,747.054,464.984,4095,0,758,0,12927,535.076
48,13.668,26.476,217,0,0,0,12612,522.037
49,1.955,8.480,108,0,0,0,5101,211.141
50,1824.549,1854.385,4095,0,785,4095,1070,44.290
51,3.650,9.735,123,0,0,0,11564,478.658
52,10.634,22.203,195,0,0,0,10942,452.913
53,73.299,89.637,643,0,41,0,4691,194.170
54,14.533,28.726,173,0,0,0,180,7.451
55,12.060,25.532,207,0,0,0,4344,179.807
56,4.345,13.180,132,0,0,0,5789,239.619
57,14.921,29.844,267,0,0,0,11753,486.482
58,58.582,183.730,3099,0,0,0,19941,825.400
59,108.082,173.358,2079,0,57,0,6337,262.302
60,7.513,16.245,164,0,0,0,5055,209.237
61,13.003,28.334,216,0,0,0,2547,105.426
62,16.738,34.983,290,0,0,0,2687,111.221
63,4.452,13.091,116,0,0,0,3667,151.785
64,820.768,1066.416,4095,0,266,0,5745,237.798
65,5.160,14.712,146,0,0,0,6279,259.901
66,6.484,17.251,177,0,0,0,5175,214.204
67,9.443,16.568,138,0,0,0,4887,202.283
68,42.325,49.030,340,0,27,0,11882,491.821
69,5.556,14.325,141,0,0,0,5246,217.143
70,32.719,57.041,341,0,0,0,2525,104.515
71,14.263,27.535,310,0,0,0,9498,393.142
72,18.998,41.028,260,0,0,0,2580,106.792
73,7.749,20.343,215,0,0,0,3237,133.986
74,15.850,31.456,292,0,0,0,4932,204.146
75,5.260,15.036,150,0,0,0,3595,148.805
76,32.038,67.847,911,0,0,0,6890,285.192
77,338.774,534.953,4095,0,138,0,4303,178.110
78,25.999,50.130,465,0,0,0,10831,448.318
79,27.233,40.042,345,0,9,0,8214,339.995
80,341.261,581.401,4095,0,81,0,3740,154.807
81,31.857,34.753,210,0,20,0,6103,252.616
82,12.990,21.677,210,0,1,0,11336,469.221
83,6.024,14.984,147,0,0,0,3099,128.274
84,66.293,72.684,584,0,47,0,26104,1080.500
85,11.459,24.074,227,0,0,0,10737,444.427
86,59.785,73.931,493,0,31,0,15122,625.932
87,3.764,12.305,149,0,0,0,6074,251.416
88,4.116,12.949,144,0,0,0,6580,272.360
89,24.170,41.646,350,0,0,0,7740,320.375
90,3.947,13.138,141,0,0,0,2869,118.754
91,6.007,16.071,195,0,0,0,8177,338.463
92,323.928,513.741,3303,0,57,0,2566,106.212
93,1206.832,1643.637,4095,0,55,0,2218,91.808
94,49.433,82.421,1214,0,12,0,5737,237.467
95,79.248,88.532,576,0,53,0,1493,61.798
96,75.461,111.745,620,0,4,0,3009,124.549
97,68.985,102.572,622,0,8,0,3012,124.673
98,10.129,22.697,198,0,0,0,5363,221.986
99,27.743,43.348,256,0,0,0,2906,120.285
100,39.060,49.198,316,0,19,0,4634,191.811
101,8.541,18.168,124,0,0,0,209,8.651
