Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,447.660,292.637,2018,0,456,0,2896,119.872
2,272.591,211.928,1642,25,213,186,340,14.073
3,927.273,509.831,4095,0,824,4095,1986,82.205
4,657.820,520.532,3225,0,616,0,5685,235.314
5,1001.431,795.608,4095,0,1082,0,4327,179.104
6,273.518,148.840,1094,0,257,0,2841,117.595
7,294.175,198.769,1467,0,257,0,2270,93.960
8,349.272,200.080,2016,0,320,0,3478,143.962
9,289.201,183.016,1268,0,265,0,1890,78.231
10,1632.490,1287.151,4095,0,1792,0,4686,193.963
11,1302.661,1399.052,4095,0,819,0,2986,123.597
12,1018.377,703.389,4095,0,988,0,2370,98.099
13,1726.385,1182.944,4095,0,1788,0,9565,395.916
14,1477.388,945.291,4095,0,1506,0,3452,142.886
15,547.332,467.331,3700,0,510,0,5445,225.380
16,2145.561,1806.709,4095,0,2789,0,4276,176.993
17,136.441,162.426,846,0,75,0,764,31.624
18,363.313,517.589,4095,0,184,0,4362,180.552
19,870.629,806.289,3383,0,646,0,202,8.361
20,1952.323,1496.454,4095,0,2246,0,10880,450.346
21,1135.930,992.612,4095,0,1124,0,1497,61.964
22,1943.903,1313.690,4095,0,2055,0,6256,258.949
23,1083.114,926.911,4095,0,988,0,4822,199.593
24,870.955,707.273,4095,0,811,0,5982,247.608
25,1231.428,872.886,4095,0,1162,0,11696,484.122
26,203.981,172.264,1872,0,169,0,6047,250.298
27,1735.838,1345.784,4095,0,1884,0,5355,221.655
28,375.555,246.400,1934,0,363,0,4395,181.918
29,1404.343,1116.777,4095,0,1374,0,4030,166.810
30,1367.776,790.712,4095,0,1238,4095,3661,151.537
31,971.074,698.092,4095,0,881,0,7826,323.935
32,842.199,696.840,4079,0,885,0,3935,162.878
33,540.561,370.488,3175,0,554,0,9619,398.151
34,1181.877,999.505,4095,0,1270,0,3912,161.926
35,766.056,550.342,3803,224,624,515,2714,112.338
36,1567.836,1037.932,4095,0,1568,0,5342,221.117
37,1814.396,1184.887,4095,0,1920,0,5501,227.698
38,1251.134,766.837,4095,0,1077,4095,6770,280.225
39,1433.395,1282.545,4095,0,1566,0,7357,304.522
40,1737.270,1046.050,4095,0,1828,0,8014,331.716
41,342.633,155.852,888,0,336,302,1878,77.734
42,227.569,212.944,983,0,178,0,4042,167.307
43,169.355,145.728,703,0,152,0,7040,291.400
44,767.084,631.434,4095,0,707,0,5016,207.623
45,455.928,481.084,4095,0,372,0,9380,388.258
46,2179.808,1884.213,4095,0,2946,4095,4835,200.131
47,213.531,210.827,2672,0,176,0,12927,535.076
48,1073.982,849.097,4095,0,1007,0,12612,522.037
49,1262.368,754.880,4095,0,1098,4095,5101,211.141
50,316.799,570.856,3505,0,58,0,1070,44.290
51,869.366,613.767,4035,0,762,0,11564,478.658
52,2074.052,1486.824,4095,0,2276,0,10942,452.913
53,480.640,463.911,2683,0,449,0,4691,194.170
54,192.450,186.451,867,0,124,0,180,7.451
55,1615.322,1448.152,4095,0,1626,0,4344,179.807
56,1959.980,1362.382,4095,0,2102,0,5789,239.619
57,804.101,567.141,4095,0,696,0,11753,486.482
58,712.934,593.019,4095,0,616,0,19941,825.400
59,429.534,246.698,2063,0,415,0,6337,262.302
60,400.778,302.516,2694,0,334,0,5055,209.237
61,1242.073,1125.486,4095,0,1384,0,2547,105.426
62,1216.614,1323.143,4095,0,801,0,2687,111.221
63,1527.878,1122.857,4095,0,1597,0,3667,151.785
64,572.571,748.823,4095,0,215,0,5745,237.798
65,1283.133,987.554,4095,0,1243,0,6279,259.901
66,1876.711,1395.086,4095,0,2060,0,5175,214.204
67,696.983,556.514,4068,0,669,0,4887,202.283
68,221.976,194.281,2187,0,197,0,11882,491.821
69,1150.775,840.373,4095,0,1049,0,5246,217.143
70,1508.473,1785.136,4095,0,76,0,2525,104.515
71,409.943,497.891,4095,0,263,0,9498,393.142
72,941.024,1056.747,4095,0,619,0,2580,106.792
73,1033.447,975.751,4095,0,1131,0,3237,133.986
74,1267.322,1093.500,4095,0,1241,0,4932,204.146
75,751.122,719.329,4095,0,728,0,3595,148.805
76,647.821,736.452,4095,0,416,0,6890,285.192
77,268.526,304.623,3019,0,206,0,4303,178.110
78,1008.723,741.658,4095,0,923,0,10831,448.318
79,452.246,252.851,2521,0,422,0,8214,339.995
80,690.411,626.214,3793,0,639,0,3740,154.807
81,463.988,213.196,1744,0,462,465,6103,252.616
82,405.350,262.528,2483,0,372,0,11336,469.221
83,700.269,492.381,3897,0,635,0,3099,128.274
84,737.007,512.022,3777,0,709,0,26104,1080.500
85,1430.452,1050.993,4095,0,1363,0,10737,444.427
86,1586.446,1314.764,4095,0,1626,0,15122,625.932
87,1497.266,947.764,4095,0,1423,0,6074,251.416
88,1697.608,1049.542,4095,0,1646,0,6580,272.360
89,1475.297,1232.974,4095,0,1476,0,7740,320.375
90,1278.164,626.791,4095,0,1182,4095,2869,118.754
91,1086.603,788.265,4095,0,927,0,8177,338.463
92,805.974,991.144,4048,0,311,0,2566,106.212
93,695.362,977.484,4095,0,121,0,2218,91.808
94,634.809,525.952,4095,0,584,0,5737,237.467
95,206.556,128.211,795,0,183,0,1493,61.798
96,889.909,934.019,4095,0,623,0,3009,124.549
97,700.085,627.882,2641,0,648,0,3012,124.673
98,532.454,381.563,2980,0,514,0,5363,221.986
99,580.733,386.780,2290,0,585,0,2906,120.285
100,427.674,249.257,2259,0,399,0,4634,191.811
101,419.536,155.627,1078,152,397,366,209,8.651
