Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,619.470,434.833,2867,151,507,375,541,22.393
2,775.692,495.669,2900,0,776,0,5219,216.025
3,577.878,577.170,4095,0,460,0,3259,134.897
4,23.418,37.514,253,0,0,0,4222,174.758
5,541.300,581.640,3965,0,351,0,3560,147.356
6,20.153,32.940,218,0,0,0,4630,191.645
7,63.356,83.498,700,0,32,0,4395,181.918
8,148.910,111.814,727,0,132,0,5128,212.259
9,32.055,47.861,308,0,0,0,8894,368.141
10,12.699,25.044,172,0,0,0,7986,330.557
11,6.081,16.644,201,0,0,0,7335,303.611
12,64.738,78.245,483,0,35,0,6801,281.508
13,109.257,88.655,718,0,95,0,6434,266.317
14,212.541,234.953,1401,0,149,0,3818,158.035
15,172.665,185.932,912,0,122,0,4758,196.944
16,38.638,50.546,426,0,16,0,15538,643.151
17,936.456,1381.918,4095,0,172,0,1423,58.901
18,70.601,69.661,375,0,58,0,8233,340.781
19,500.755,415.878,2091,146,372,332,94,3.891
20,155.756,248.102,2129,0,48,0,2705,111.966
21,37.414,51.856,376,0,9,0,5157,213.459
22,496.057,391.969,3641,0,426,0,8303,343.679
23,4.249,11.701,141,0,0,0,5277,218.426
24,22.215,38.073,309,0,4,0,5830,241.316
25,71.001,84.627,420,0,36,0,2735,113.207
26,1373.890,751.862,4095,0,1280,0,8691,359.739
27,307.351,210.745,1810,0,288,0,6206,256.879
28,1632.628,1235.293,4095,0,1564,0,11347,469.676
29,2.388,9.537,135,0,0,0,7354,304.398
30,41.318,44.316,388,0,28,0,8852,366.403
31,60.872,89.455,858,0,19,0,3249,134.483
32,182.215,230.605,1626,0,115,0,4666,193.136
33,236.118,286.776,1990,0,132,0,4733,195.909
34,37.239,49.744,332,0,11,0,9077,375.716
35,5.143,16.052,172,0,0,0,5000,206.961
36,13.914,27.363,221,0,0,0,7066,292.477
37,254.562,366.587,3142,0,134,0,4717,195.247
38,13.637,24.607,161,0,0,0,5589,231.341
39,26.275,43.218,405,0,0,0,12249,507.012
40,758.235,560.196,4095,0,704,0,7161,296.409
41,15.516,29.904,294,0,0,0,11315,468.352
42,4.312,13.204,126,0,0,0,3945,163.292
43,120.607,126.718,1013,0,92,0,5953,246.407
44,61.776,105.117,843,0,13,0,5871,243.013
45,621.117,604.978,4095,0,440,0,3338,138.167
46,1466.707,1287.758,4095,0,1113,0,4321,178.855
47,987.552,1216.217,4095,0,389,0,2045,84.647
48,1679.324,1393.840,4095,0,1588,0,4497,186.140
49,33.092,91.251,1351,0,0,0,3579,148.142
50,1322.867,1730.006,4095,0,160,0,1912,79.142
51,1591.214,1748.340,4095,0,557,4095,6446,266.814
52,20.172,34.328,247,0,0,0,5724,236.928
53,19.572,34.566,249,0,0,0,5522,228.567
54,15.182,25.242,180,0,1,0,3299,136.553
55,5.027,13.032,117,0,0,0,3005,124.383
56,6.214,16.432,153,0,0,0,3490,144.458
57,17.357,28.823,220,0,0,0,17306,716.332
58,16.291,28.705,210,0,0,0,6308,261.101
59,18.068,30.312,217,0,0,0,5465,226.208
60,125.782,218.493,2740,0,55,0,12110,501.259
61,81.680,90.835,457,0,54,0,6490,268.635
62,44.366,76.065,494,0,0,0,3962,163.996
63,4.129,12.543,144,0,0,0,9676,400.510
64,141.270,150.420,1477,0,103,0,13691,566.699
65,39.059,58.685,325,0,0,0,3243,134.235
66,44.929,64.229,392,0,6,0,4310,178.400
67,1430.000,1785.885,4095,0,213,0,3814,157.870
68,21.593,35.227,311,0,2,0,6435,266.358
69,10.770,21.516,168,0,0,0,5495,227.450
70,6.088,16.213,168,0,0,0,11516,476.672
71,129.156,118.362,1104,0,104,0,2413,99.879
72,1117.673,928.523,4095,0,956,0,6143,254.272
73,29.396,52.512,329,0,0,0,4729,195.743
74,14.020,23.339,215,0,2,0,8660,358.456
75,66.219,70.899,606,0,50,0,7151,295.995
76,126.669,102.077,758,0,110,0,4168,172.522
77,31.274,46.658,208,0,2,0,409,16.929
78,12.005,25.480,176,0,0,0,981,40.606
79,705.819,665.978,2900,0,494,0,905,37.460
