Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,0.210,2.850,44,0,0,0,243,10.058
2,0.266,2.577,36,0,0,0,444,18.378
3,0.398,2.996,42,0,0,0,1305,54.017
4,0.676,4.586,74,0,0,0,3570,147.770
5,3.115,10.720,103,0,0,0,599,24.794
6,1.532,7.303,92,0,0,0,5664,234.445
7,0.031,0.882,36,0,0,0,1779,73.637
8,0.156,2.019,62,0,0,0,6833,282.832
9,1.508,7.348,120,0,0,0,6775,280.432
10,0.898,5.968,106,0,0,0,4010,165.982
11,0.787,4.786,95,0,0,0,5142,212.838
12,631.364,1123.256,4095,0,0,0,1686,69.787
13,2.790,10.983,136,0,0,0,4448,184.112
14,1.381,7.444,130,0,0,0,5745,237.798
15,3.549,12.745,170,0,0,0,5069,209.817
16,5.139,15.786,173,0,0,0,4157,172.067
17,3.402,11.902,147,0,0,0,4797,198.558
18,1.968,8.785,116,0,0,0,10761,445.421
19,3.321,11.388,98,0,0,0,1748,72.353
20,4.835,15.762,144,0,0,0,2794,115.650
21,3.518,9.154,104,0,0,0,3894,161.181
22,15.773,22.787,166,0,4,0,5661,234.321
23,12.028,21.449,191,0,0,0,2752,113.911
24,4.829,13.953,189,0,0,0,6084,251.830
25,30.438,42.984,354,0,5,0,9640,399.020
26,32.864,43.977,303,0,10,0,10447,432.423
27,1.608,7.756,111,0,0,0,5616,232.458
28,4.702,14.680,188,0,0,0,4984,206.298
29,7.007,17.736,174,0,0,0,5966,246.945
30,0.120,1.289,14,0,0,0,117,4.843
31,3.606,11.608,114,0,0,0,2834,117.305
32,19.874,36.207,273,0,0,0,2880,119.209
33,8.887,20.918,155,0,0,0,1077,44.579
34,60.031,82.457,487,0,12,0,2268,93.877
35,14.313,29.924,216,0,0,0,3677,152.199
36,79.664,87.293,472,0,56,0,12958,536.359
37,22.061,41.114,396,0,0,0,1844,76.327
38,9.254,22.364,240,0,0,0,5119,211.886
39,63.074,69.604,375,0,42,0,3823,158.242
40,43.465,54.160,424,0,22,0,31664,1310.640
41,20.847,35.068,251,0,0,0,3253,134.649
42,38.928,59.867,407,0,0,0,3402,140.816
43,28.233,41.781,319,0,1,0,3025,125.211
44,34.607,53.289,332,0,9,0,1751,72.478
45,115.278,108.943,618,0,104,0,7731,320.002
46,122.867,77.272,446,0,123,0,3291,136.221
47,139.061,98.627,583,0,129,0,2201,91.104
48,140.784,93.662,617,0,129,0,5216,215.901
49,191.333,172.218,968,0,179,0,4577,189.452
50,137.523,144.619,659,0,98,0,2672,110.600
51,194.710,187.552,905,0,174,0,3416,141.395
52,73.220,57.582,444,0,62,0,4024,166.562
53,127.404,126.388,1006,0,109,0,7269,300.879
54,134.382,145.846,651,0,86,0,3406,140.982
55,47.629,74.962,506,0,0,0,1741,72.064
56,98.407,93.433,703,0,80,0,3254,134.690
57,228.298,215.787,1385,0,220,0,3975,164.534
58,187.355,133.939,776,0,186,0,2959,122.479
59,189.822,173.506,1137,0,174,0,2651,109.730
60,219.380,258.181,1150,0,110,0,1698,70.284
61,225.392,210.979,843,0,194,0,1577,65.275
62,406.955,390.357,2827,0,402,0,5986,247.773
63,741.915,658.396,4095,0,753,0,6169,255.348
64,301.116,276.651,1774,0,302,0,2935,121.486
65,518.166,472.665,2575,0,531,0,4281,177.200
66,355.149,233.705,2444,0,312,215,3097,128.191
67,800.680,648.664,4034,0,845,0,6127,253.609
68,738.500,545.817,4095,0,718,0,5461,226.042
69,1053.994,912.095,4095,0,1145,0,5674,234.859
70,1189.989,900.549,4095,0,1323,0,10401,430.519
71,958.923,641.559,3951,0,1011,0,4388,181.629
72,973.949,630.384,4095,0,976,0,4069,168.425
73,898.381,492.199,4088,0,875,0,2624,108.613
74,1412.033,1221.736,4095,0,1541,0,3263,135.062
75,838.979,877.399,4095,0,658,0,3248,134.442
76,1527.036,1105.522,4095,0,1609,0,5828,241.233
77,2066.426,1528.794,4095,0,2316,0,7781,322.072
78,828.817,489.364,4095,77,729,641,6564,271.698
79,1777.188,1641.821,4095,0,2097,0,3863,159.898
80,2217.605,1926.794,4095,0,3268,4095,6068,251.167
81,1836.829,1180.860,4095,0,1800,0,20481,847.752
82,1602.891,1240.307,4095,0,1697,0,4794,198.434
83,1861.213,1887.758,4095,0,882,4095,3755,155.427
84,2227.124,1854.128,4095,0,3004,4095,6590,272.774
85,2307.496,1589.298,4095,0,2697,0,9584,396.702
86,1541.293,1395.786,4095,0,1729,0,3852,159.442
87,1314.040,1042.065,4095,0,1399,0,4581,189.617
88,1354.968,1137.675,4095,0,1519,0,2291,94.829
89,2334.928,1682.947,4095,0,2872,4095,10583,438.053
90,1400.773,1035.741,4095,0,1424,0,4924,203.815
91,1617.996,1419.939,4095,0,1623,0,3532,146.197
92,1845.666,1247.587,4095,0,2020,0,9652,399.517
93,1503.661,1271.383,4095,0,1650,0,3340,138.250
94,1977.162,1665.782,4095,0,2408,0,4884,202.159
95,2009.828,1315.090,4095,0,2200,0,8038,332.710
96,957.931,556.034,4095,76,832,707,1239,51.285
